hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,X/B,B,B,B,B,B,X/B,B,B,B,B,B,B
Overpair,—,—,—,—,—,—,—,B,—,—,B,B,B
Top pair,X,X,X,X,X,X,X,X/B,X/B,X/B,B,B,B
Underpair,X/B,—,X,X,X,X,X/B,X,X,X,X/B,X/B,X/B
Second pair,X,X,X,X,X/B,B,X,X,X/B,X/B,X/B,X/B,B
Third pair,X/B,B,B,B,B,B,X,B,X/B,X/B,X/B,X/B,B
Weak pair,X,X,X,X,X/B,X/B,X,X,X,X,X/B,X/B,X/B
OESD,B,B,B,—,B,B,B,B,B,B,B,B,B
Gutshot,X/B,B,B,B,B,B,X/B,X/B,B,B,B,B,B
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,B,X/B,X/B
Air,X,X,X,X,X,X,X,X,X/B,X/B,X/B,X/B,X/B
