flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1188,190266.52530000024,0.9996125716329964,0.0003874292087542088,X,0.0,0.0
A-high high,Air,22,2176,242489.5573599993,1.0,0.0,X,0.0,0.0
A-high high,Second pair,22,1131,108543.62354000013,0.999254528753947,0.0007454609200816278,X,0.0,0.0
A-high high,Top pair,22,1167,136632.02509999988,0.9949151328127769,0.0050848668604908725,X,4.296634606237272e-09,2.600473000029524e-05
A-high high,Third pair,22,573,55093.51103999991,0.9585556404860291,0.041444356923127375,X,1.1286989461651082e-06,0.0005995978559999671
A-high high,Gutshot,22,1128,92739.49834999988,0.9941265928497637,0.0058734023078562845,X,1.1724329515351637e-07,5.1962662000004654e-05
A-high high,Two pair+,22,506,49822.20644000011,0.9721618585388838,0.027838134866745447,X,1.6269847604838547e-08,5.626000000802378e-06
A-high high,OESD,5,72,6111.132899999999,0.9982281966666667,0.0017717783333333335,X,0.0,0.0
A-high medium,Weak pair,16,720,126125.29999999992,0.9999719947916667,2.8002604166666668e-05,X,0.0,0.0
A-high medium,Air,16,1732,203527.19954999987,1.0,0.0,X,0.0,0.0
A-high medium,Top pair,16,864,96508.65889999998,0.9796702928240741,0.020329712962962963,X,8.859323088060186e-06,0.012534743519999836
A-high medium,Third pair,16,342,41664.89505999996,0.9022777290178573,0.09772226866732805,X,0.00014089150785861142,0.03895846754499992
A-high medium,Gutshot,16,908,87789.68028999997,0.9622206474352905,0.03777934644491793,X,2.1575920381464526e-05,0.006711277580000008
A-high medium,Second pair,16,786,59509.571159999985,0.9954231494952659,0.004576853872528545,X,2.364423384510159e-10,2.656190000394076e-07
A-high medium,OESD,5,104,8675.413680000005,0.9818466962500001,0.01815329,X,0.0,0.0
A-high medium,Two pair+,16,293,39778.71721000001,0.9455754443989639,0.05442455637502976,X,2.9334906568868264e-07,6.101399999920431e-05
A-high medium,Underpair,8,48,4679.110100000001,0.9999989791666666,1.0208333333333334e-06,X,0.0,0.0
A-high low,Weak pair,27,672,127666.25399999987,0.950773234979424,0.049226765534979414,X,1.3158448560594834e-06,0.0008460426780000141
A-high low,Air,28,5052,506883.8151400012,0.9896211925949141,0.010378806644143706,X,0.00027534353262212777,0.060029544275999935
A-high low,Top pair,28,1764,213801.86389999997,0.9214526326530611,0.07854736734693878,X,2.3110361021010674e-05,0.012844861540001062
A-high low,Gutshot,28,612,68271.83533000003,0.849679849840561,0.15032017397959183,X,0.0027789058786025123,0.06754220227999994
A-high low,Third pair,28,489,57558.74610000005,0.8613453134353742,0.13865469114229026,X,0.0007531480714439637,0.035044315469999886
A-high low,Second pair,28,699,89053.22962999996,0.8942361980734214,0.1057638057874665,X,0.0005501523451405245,0.04659915092000002
A-high low,OESD,16,156,20534.10718999998,0.7779405494791668,0.22205945572916666,X,0.0001592457529162186,0.009451513140000145
A-high low,Two pair+,28,342,54850.40979999995,0.7256962550595237,0.2743037400297619,X,0.0016727777930007324,0.11773000000000025
A-high low,Underpair,28,672,101606.44880000011,0.9848211445507371,0.015178851977040815,X,1.76667914445045e-05,0.0012505260000001072
Broadway,Weak pair,51,2370,426479.5657000019,0.9999558938945948,4.410616376180101e-05,X,0.0,0.0
Broadway,Air,51,5000,641183.9644999979,0.999999681885283,3.1811471715122825e-07,X,0.0,0.0
Broadway,Top pair,51,2610,273495.31659999996,0.997969126024789,0.0020308707780279864,X,3.967621121749544e-09,3.1921800001555313e-06
Broadway,Gutshot,51,2364,277217.9001900007,0.9971422025541048,0.00285780104495178,X,9.531258994697745e-09,1.6756621000002526e-05
Broadway,Second pair,51,2526,234284.51817000032,0.998975398795309,0.0010246021351218034,X,3.1496226749962216e-09,1.8932899997992082e-06
Broadway,OESD,50,1136,108167.62368000003,0.9963498959583333,0.0036500934583333327,X,3.3081936288356173e-09,1.8146200002178148e-06
Broadway,Third pair,51,1191,146208.55663999997,0.9960394317375437,0.003960568895302228,X,3.2937032980160013e-07,0.000140773799999927
Broadway,Two pair+,51,1176,125096.34848999987,0.9952524411420299,0.004747556695253982,X,7.669805991388434e-09,8.46773999967354e-06
Broadway,Underpair,16,96,9793.018499999998,0.99995290625,4.7093749999999996e-05,X,0.0,0.0
K/Q-high,Weak pair,54,1344,266372.8009999998,0.999457145164609,0.0005428581790123456,X,8.07294398784858e-10,4.6996599998294644e-07
K/Q-high,Air,56,9776,1155069.6537100072,0.9936682096361914,0.006331791134891678,X,1.0250037303460556e-06,0.014469422939999976
K/Q-high,Top pair,56,3486,362756.43320000015,0.974246341223459,0.02575365710291692,X,1.0137288656570375e-05,0.025449466960000677
K/Q-high,Gutshot,52,1512,162479.37584000005,0.9771821074442456,0.022817890016631204,X,3.422493433461809e-06,0.00302064423000008
K/Q-high,Third pair,56,1017,129144.69290000007,0.9952701826743198,0.004729820507369613,X,3.2461814416696963e-06,0.001577448600000153
K/Q-high,Second pair,56,1401,187085.88378000027,0.9944964544773843,0.005503543793161204,X,1.595267746552709e-06,0.0012959201099999262
K/Q-high,OESD,40,440,51393.43367000001,0.9780793739583336,0.02192061354166666,X,4.3824581805206867e-07,0.00013014612000077362
K/Q-high,Two pair+,56,624,103123.14410000006,0.9720509716411565,0.02794903543792517,X,4.666754491115287e-08,1.3039299997785746e-05
K/Q-high,Underpair,56,1344,212375.79800000045,0.9973031028415535,0.0026968985969387745,X,9.872305333021421e-09,1.0899840000000438e-05
Middle connected,Weak pair,22,444,91745.19999999994,0.9155735787698412,0.08442641706349206,X,2.3489861425181517e-05,0.002066163399999965
Middle connected,Air,26,3966,489335.8924800011,0.9521274319016726,0.047872568404307175,X,0.00015355756161174492,0.02651373330000002
Middle connected,Gutshot,26,984,122223.40150999987,0.865474729323011,0.1345252752847839,X,0.0005723792177746309,0.14505999999999997
Middle connected,OESD,26,488,62698.42049999994,0.8678372575132887,0.13216275790979382,X,0.0005734499925182169,0.049195729799999734
Middle connected,Third pair,26,528,72053.20549999991,0.9397475787647536,0.06025242718253968,X,4.3801004039038956e-05,0.01174987776000016
Middle connected,Second pair,26,600,82562.52116000002,0.9298263299196172,0.0701736802960928,X,1.6800263903492844e-05,0.006042509480000291
Middle connected,Two pair+,26,527,76208.63313000002,0.8292948988208848,0.17070511114263748,X,4.817083048770076e-05,0.01835384879999964
Middle connected,Top pair,26,1194,131765.96382000003,0.9055866241007097,0.09441337546726068,X,1.807300572218064e-05,0.0022013441500000398
Middle connected,Underpair,22,444,85801.25100000015,0.9026236284632034,0.09737636774891772,X,2.301184019100307e-05,0.0019057444499999577
Middle dry,Weak pair,67,1602,328954.0690000003,0.9484418357794361,0.05155816554726368,X,1.514637512772877e-06,0.0005058041999999929
Middle dry,Air,67,10993,1373144.7951200102,0.9708651460580542,0.029134853030857225,X,6.84264210424401e-05,0.03466120649899995
Middle dry,Third pair,67,1269,160549.46520000004,0.9681661264984602,0.031833877011766556,X,1.057166806028001e-05,0.003061546700000406
Middle dry,Gutshot,67,2324,279922.6212200013,0.9266839744688554,0.07331602403147287,X,0.00027900107716280395,0.07755999999999989
Middle dry,OESD,63,1004,119563.82432000009,0.9134140838319088,0.08658591365486361,X,2.4304213547388604e-05,0.010637245439999887
Middle dry,Second pair,67,1671,242769.3959899997,0.9495203061449603,0.05047969840157079,X,1.0041294849654028e-05,0.002880881249999945
Middle dry,Two pair+,67,905,152928.84893000012,0.8942618861929386,0.10573810901025692,X,5.872263020980794e-06,0.004270911560000456
Middle dry,Top pair,67,3210,346313.998410001,0.9369579810816868,0.0630420190392666,X,6.080146352150047e-06,0.011599953860000766
Middle dry,Underpair,52,726,135453.74200000014,0.9597028255876066,0.040297175480769235,X,8.737865334918534e-07,0.0004308029500002419
Middle dry,2 overcards + BDFD,67,1059,73882.99140000001,0.9115601624391501,0.08843983991737947,X,0.001278907703819826,0.12251436408000008
Middle connected,2 overcards + BDFD,23,414,29190.9746,0.8517030406027146,0.1482969581090407,X,0.0017643610635908267,0.102989916722
Middle connected,Overpair,18,204,28479.20300000001,0.8480345771604938,0.15196543209876548,X,7.631372392328166e-05,0.0022907601599996496
Middle dry,Overpair,46,486,66382.625,0.8982083961352655,0.10179160265700482,X,1.2226416344762009e-05,0.0009229510399997309
Low,Weak pair,16,180,39880.50900000007,0.4375216701388889,0.5624783194444445,X/D,0.0005557656027501371,0.003925819779999884
Low,Gutshot,20,920,124976.34578000019,0.5070377025811811,0.4929623004295197,X/D,0.001030279100456084,0.05999999999999996
Low,OESD,19,328,46247.99540000001,0.4493660391969508,0.550633967804929,X/D,0.0003725610319066451,0.004114351799999838
Low,Third pair,20,273,34172.70469999998,0.5862341368055556,0.4137658616666666,X/D,0.0018681222403143314,0.06600000000000002
Low,Air,20,2955,332261.0366999997,0.828172024946349,0.17182797550449508,X,0.001280743974214195,0.07681992450599999
Low,Two pair+,20,380,68936.96439999985,0.36669398368626255,0.6333060110010195,X/D,0.0007332549952164412,0.023358652199999597
Low,Second pair,20,402,55526.37470000001,0.5611693202314816,0.43883068657407415,X/D,0.0011084034356729,0.05579499999999982
